,activation,batch_size,patience,epoch,learning_rate,model_name,kernel,filters,mean,std
0,relu,128,10,100,0.01,CNN,12,32,0.9262139217272676,0.021223380468773503
1,relu,256,3,100,0.01,CNN,3,64,0.9238244588003881,0.005364944185381986
2,relu,256,3,100,0.001,CNN,12,128,0.9232888245923085,0.009697630791132936
3,relu,64,10,100,0.001,CNN,12,32,0.9232244117367419,0.003654698040472341
4,relu,128,5,100,0.005,CNN,12,128,0.9230868155582986,0.0007272466969700368
5,relu,128,5,100,0.01,CNN,12,128,0.9229949907814308,0.00991310857051604
6,relu,256,5,100,0.005,CNN,12,32,0.9220947331034304,0.002022659684054888
7,relu,256,10,100,0.01,CNN,12,64,0.9214960924254361,0.007724314797094055
8,relu,128,10,100,0.005,CNN,12,64,0.9213392128387525,0.012295922665317344
9,relu,128,10,100,0.005,CNN,6,32,0.921059257793522,0.010585683904182594
10,relu,64,5,100,0.005,CNN,6,128,0.9210339836859344,0.016933739365241073
11,relu,32,10,100,0.005,CNN,12,64,0.9208504777246249,0.007896565742957074
12,relu,128,5,100,0.001,CNN,12,32,0.9208470678597541,0.0069158599940075125
13,relu,64,5,100,0.001,CNN,12,128,0.9206485494797025,0.01463442030802355
14,relu,64,3,100,0.01,CNN,12,32,0.920146237601342,0.00521684211607914
15,relu,32,5,100,0.005,CNN,12,32,0.9199611678086121,0.014614052172748727
16,relu,64,10,100,0.001,CNN,12,64,0.9197514549326976,0.007234930201265244
17,relu,128,10,100,0.001,CNN,12,128,0.9196266872099556,0.00796218491728652
18,relu,64,10,100,0.005,CNN,12,128,0.9195216039680876,0.015893535037712393
19,relu,256,10,100,0.001,CNN,12,64,0.9192373493821888,0.0044148113901213435
20,relu,256,5,100,0.001,CNN,12,32,0.9190628958811313,0.005030849183704932
21,relu,128,10,100,0.001,CNN,6,128,0.918847970452395,0.003561487002934189
22,relu,32,10,100,0.01,CNN,6,64,0.9184562901584358,0.007568014622939244
23,relu,32,10,100,0.005,CNN,6,32,0.9183695389961585,0.010528292365561796
