,activation,batch_size,dropout_rate,patience,epoch,learning_rate,model_name,kernel,filters,nodes,mean,std
0,relu,32,0.3,15,100,0.001,CNN-LSTM,6,64,128,0.9289503318068327,0.045906124080685284
1,relu,32,0.5,10,100,0.001,CNN-LSTM,6,64,128,0.9248706510431989,0.047825380651025706
2,relu,32,0.3,15,100,0.005,CNN-LSTM,3,64,64,0.9234507987788426,0.044609961075485906
3,relu,32,0.3,10,100,0.005,CNN-LSTM,3,48,64,0.9232567329134811,0.04102352879508608
4,relu,32,0.3,15,100,0.001,CNN-LSTM,3,64,128,0.9214182660213975,0.046917177242489456
5,relu,32,0.5,10,100,0.005,CNN-LSTM,6,48,64,0.9193310308656443,0.04375091160641366
6,relu,32,0.3,10,100,0.001,CNN-LSTM,3,64,64,0.9192949196715811,0.04181437628331187
7,relu,32,0.3,15,100,0.001,CNN-LSTM,6,64,128,0.9175059943499517,0.043392305157467136
8,relu,32,0.3,15,100,0.005,CNN-LSTM,3,48,64,0.9172424309378832,0.04755430599235787
9,relu,64,0.3,10,100,0.001,CNN-LSTM,6,64,128,0.9167832917151639,0.04261005441099457
10,relu,64,0.3,15,100,0.001,CNN-LSTM,3,64,64,0.9153378682055647,0.03694329765965555
11,relu,64,0.5,15,100,0.001,CNN-LSTM,3,64,128,0.9152409281237783,0.04124003125949842
12,relu,32,0.3,15,100,0.001,CNN-LSTM,6,64,64,0.9145315063390147,0.042599832101345915
13,relu,32,0.5,15,100,0.005,CNN-LSTM,3,48,64,0.9141374779205071,0.04166152851862557
14,relu,64,0.3,15,100,0.005,CNN-LSTM,3,64,128,0.9136526245486939,0.03677323094072041
15,relu,32,0.3,15,100,0.005,CNN-LSTM,6,48,64,0.9135785023841745,0.0522521291527468
16,relu,64,0.3,10,100,0.001,CNN-LSTM,6,48,64,0.9135526707804253,0.03955986159034421
17,relu,64,0.5,10,100,0.001,CNN-LSTM,6,64,128,0.9132903080275975,0.051784952939840714
18,relu,64,0.3,15,100,0.001,CNN-LSTM,6,64,64,0.9132438860560809,0.04323139518915277
19,relu,32,0.5,10,100,0.001,CNN-LSTM,3,48,64,0.9127812375119311,0.04442023381782678
20,relu,32,0.5,15,100,0.005,CNN-LSTM,6,64,128,0.9125333542336461,0.05237777994231449
21,relu,64,0.5,15,100,0.005,CNN-LSTM,6,48,64,0.912112386790511,0.04093764789096126
22,relu,32,0.5,15,100,0.001,CNN-LSTM,3,48,64,0.9118521494993226,0.04366082120585856
23,relu,32,0.5,15,100,0.005,CNN-LSTM,6,48,64,0.9118144070920415,0.045163002819502245
24,relu,64,0.3,10,100,0.005,CNN-LSTM,6,64,64,0.9117678968197456,0.04872397811632165
25,relu,32,0.3,10,100,0.001,CNN-LSTM,6,64,64,0.9111810390560704,0.03870101772232986
26,relu,64,0.5,15,100,0.001,CNN-LSTM,6,64,128,0.911146848813108,0.05853350819250277
27,relu,64,0.5,15,100,0.005,CNN-LSTM,6,64,128,0.9106716579695181,0.05221729855843082
28,relu,32,0.3,10,100,0.001,CNN-LSTM,3,48,128,0.9105193845656002,0.03627283814539471
