,activation,batch_size,dropout_rate,patience,epoch,learning_rate,model_name,kernel,filters,nodes,mean,std
0,relu,32,0.3,15,100,0.001,ConvLSTM,6,64,128,0.9278822797704617,0.04228390442777936
1,relu,64,0.5,10,100,0.005,ConvLSTM,6,48,128,0.9231756588540001,0.04036829921320129
2,relu,32,0.5,10,100,0.005,ConvLSTM,6,64,64,0.9211679646531452,0.04008073165413195
3,relu,32,0.3,10,100,0.005,ConvLSTM,3,64,128,0.9210694456237025,0.039493157448940955
4,relu,64,0.5,15,100,0.001,ConvLSTM,6,64,64,0.9207507334642069,0.0357904944504741
5,relu,32,0.5,15,100,0.001,ConvLSTM,6,48,64,0.9201351805558022,0.04688548824214039
6,relu,32,0.5,10,100,0.001,ConvLSTM,3,48,64,0.9200260564273115,0.04104232047685378
7,relu,32,0.5,10,100,0.001,ConvLSTM,6,64,128,0.9188886901796998,0.04085254436192038
8,relu,64,0.3,10,100,0.001,ConvLSTM,3,48,128,0.9185085396796989,0.0424356013600513
9,relu,32,0.5,10,100,0.001,ConvLSTM,6,48,64,0.9184197934933369,0.033468315432546795
10,relu,64,0.5,15,100,0.005,ConvLSTM,6,64,128,0.9182576828782505,0.046486767443805026
11,relu,64,0.3,15,100,0.005,ConvLSTM,6,48,64,0.9181695399254058,0.04522928505865196
12,relu,64,0.3,10,100,0.001,ConvLSTM,6,48,128,0.9172805879397755,0.04258038770035075
13,relu,32,0.3,15,100,0.001,ConvLSTM,6,48,64,0.9172316388143509,0.03641947353747071
14,relu,32,0.5,10,100,0.001,ConvLSTM,6,64,64,0.9168273444046531,0.03763896850390197
15,relu,64,0.5,15,100,0.005,ConvLSTM,3,48,64,0.9167488753198445,0.04072830962785586
16,relu,32,0.3,15,100,0.005,ConvLSTM,6,48,64,0.9163427706512742,0.040784351106693456
17,relu,32,0.3,15,100,0.001,ConvLSTM,6,64,128,0.9161630662078071,0.0421326689672248
18,relu,32,0.5,15,100,0.005,ConvLSTM,3,48,64,0.9156346074422554,0.0369064931594703
19,relu,64,0.5,10,100,0.005,ConvLSTM,3,64,64,0.9152782246350413,0.04066079714209121
20,relu,32,0.3,10,100,0.001,ConvLSTM,6,64,128,0.9145402452655318,0.04462676372828444
21,relu,64,0.5,10,100,0.005,ConvLSTM,3,64,128,0.9143824423034956,0.044080414737678215
22,relu,64,0.3,10,100,0.005,ConvLSTM,6,64,128,0.9140898714100721,0.03775660911201969
23,relu,32,0.3,10,100,0.001,ConvLSTM,6,48,128,0.9134481735604684,0.031671185378563
24,relu,64,0.5,10,100,0.001,ConvLSTM,6,48,64,0.9132018075723469,0.04108347706898606
25,relu,32,0.5,15,100,0.005,ConvLSTM,3,64,128,0.9130226217907271,0.04370402047578141
26,relu,32,0.5,15,100,0.005,ConvLSTM,6,48,64,0.9128927099640215,0.04416741126473472
27,relu,32,0.3,10,100,0.005,ConvLSTM,3,48,64,0.9124953727526071,0.045640745241718496
28,relu,32,0.3,15,100,0.001,ConvLSTM,6,48,128,0.9124129480166563,0.047056498394173474
29,relu,64,0.5,10,100,0.001,ConvLSTM,6,48,128,0.9123881504004853,0.04907004989272718
30,relu,32,0.3,10,100,0.005,ConvLSTM,6,64,128,0.9123303667804326,0.0365791162222986
31,relu,64,0.5,15,100,0.001,ConvLSTM,6,64,128,0.9121928076964341,0.04233677231692794
32,relu,64,0.3,15,100,0.001,ConvLSTM,6,48,64,0.9121224412912474,0.048565170334317925
33,relu,32,0.5,15,100,0.005,ConvLSTM,6,64,64,0.9119734320469428,0.04305899839916137
34,relu,64,0.3,15,100,0.001,ConvLSTM,6,64,128,0.9115015397452554,0.042901195276686725
35,relu,32,0.5,15,100,0.001,ConvLSTM,6,64,128,0.9114960671672326,0.04693991334246129
36,relu,64,0.3,10,100,0.001,ConvLSTM,3,48,64,0.9114898174452705,0.04029558063218422
