,activation,batch_size,dropout_rate,patience,epoch,learning_rate,model_name,nodes,mean,std
0,relu,64,0.5,15,100,0.005,LSTM,128,0.9293944094765354,0.047078046214766626
1,relu,64,0.3,15,100,0.001,LSTM,128,0.9293627915448498,0.03343621897224878
2,relu,64,0.3,15,100,0.005,LSTM,64,0.926258541126679,0.045359622880039335
3,relu,32,0.5,10,100,0.005,LSTM,64,0.9244186626908734,0.0515165838233156
4,relu,32,0.3,10,100,0.005,LSTM,128,0.9217882431259701,0.051951176448970834
5,relu,64,0.3,10,100,0.005,LSTM,64,0.920954721283173,0.0519148625137399
6,relu,64,0.3,15,100,0.005,LSTM,128,0.9165644848601346,0.048039034146959564
7,relu,32,0.3,15,100,0.005,LSTM,64,0.9154469612347643,0.053145247394403995
8,relu,64,0.3,15,100,0.001,LSTM,64,0.9129699264740925,0.0479955301325284
9,relu,32,0.5,15,100,0.005,LSTM,64,0.9103750022860826,0.052327312223220346
10,relu,32,0.3,15,100,0.001,LSTM,64,0.9091566421853088,0.0433685773740138
11,relu,32,0.3,15,100,0.001,LSTM,128,0.9077351608035776,0.062403070557097984
12,relu,64,0.3,10,100,0.001,LSTM,128,0.9068286691752675,0.056910784464657777
13,relu,64,0.5,15,100,0.001,LSTM,64,0.9030284957062393,0.06445139417116048
14,relu,32,0.3,10,100,0.001,LSTM,64,0.899998841706805,0.04516536776387808
15,relu,32,0.5,10,100,0.001,LSTM,64,0.8985844829641536,0.06552023573400668
16,relu,64,0.5,10,100,0.001,LSTM,64,0.8985144909484827,0.059201396420276005
17,relu,32,0.5,10,100,0.005,LSTM,128,0.8983181828561859,0.053983283355926566
18,relu,64,0.5,15,100,0.001,LSTM,128,0.8947150735218983,0.06638883217630778
19,relu,32,0.5,15,100,0.005,LSTM,128,0.8944245972820278,0.046038640709661204
20,relu,64,0.5,10,100,0.005,LSTM,64,0.8941375272079684,0.06421454756931023
21,relu,32,0.5,15,100,0.001,LSTM,128,0.8917564061141979,0.0715002768313404
22,relu,32,0.3,10,100,0.005,LSTM,64,0.8878667333986486,0.0528603545374143
23,relu,64,0.3,10,100,0.001,LSTM,64,0.8864596868962021,0.05417431182755273
24,relu,32,0.3,10,100,0.001,LSTM,128,0.8802564409045954,0.0677464699690459
25,relu,32,0.5,10,100,0.001,LSTM,128,0.879628212382449,0.044864341369744175
26,relu,32,0.5,15,100,0.001,LSTM,64,0.8774631101746753,0.0918756888839302
27,relu,64,0.5,15,100,0.005,LSTM,64,0.8707012586551439,0.09835339932106354
28,relu,64,0.5,10,100,0.001,LSTM,128,0.8644869196265219,0.09137712668112595
29,relu,64,0.3,10,100,0.005,LSTM,128,0.8025000323156715,0.2088054132887327
30,relu,32,0.3,15,100,0.005,LSTM,128,0.7821132035001253,0.26232865905588987
31,relu,64,0.5,10,100,0.005,LSTM,128,0.7812974244287276,0.23382987307861883
