,activation,batch_size,patience,epoch,learning_rate,model_name,filters,mean,std
0,relu,128,10,100,0.005,Multi-head-CNN,64,0.9308122359352445,0.01035651965055157
1,relu,64,3,100,0.001,Multi-head-CNN,64,0.9293994562680615,0.009902653597559843
2,relu,32,3,100,0.005,Multi-head-CNN,128,0.9264856713442233,0.007073030411626221
3,relu,128,10,100,0.01,Multi-head-CNN,128,0.9258925518981505,0.004910765384001106
4,relu,128,5,100,0.005,Multi-head-CNN,128,0.9232363380769257,0.00985208023004995
5,relu,64,10,100,0.005,Multi-head-CNN,32,0.9221085063251971,0.007938246138273354
6,relu,128,10,100,0.001,Multi-head-CNN,64,0.9208080741960192,0.006557124052165662
7,relu,32,5,100,0.001,Multi-head-CNN,64,0.9207715277269705,0.002931467968510139
8,relu,128,10,100,0.001,Multi-head-CNN,128,0.9206423542672696,0.0036145796651814756
9,relu,256,10,100,0.005,Multi-head-CNN,32,0.920066976928318,0.002729972932627069
10,relu,64,10,100,0.001,Multi-head-CNN,32,0.9196818806356476,0.0032456932370248702
11,relu,256,10,100,0.005,Multi-head-CNN,128,0.9182470733989142,0.004873943386387665
12,relu,32,10,100,0.001,Multi-head-CNN,128,0.9180173747911434,0.006981319524643417
13,relu,256,5,100,0.001,Multi-head-CNN,128,0.9177685396528279,0.013360251565868732
14,relu,32,3,100,0.005,Multi-head-CNN,64,0.9177534171000227,0.009361041785772123
15,relu,256,10,100,0.001,Multi-head-CNN,128,0.9176274452215513,0.0036687727579798554
16,relu,64,10,100,0.005,Multi-head-CNN,64,0.9174603531576873,0.00857237112616311
17,relu,32,10,100,0.005,Multi-head-CNN,64,0.917367529572649,0.015206176519791908
18,relu,256,5,100,0.005,Multi-head-CNN,64,0.9172989832923523,0.011473527125448404
19,relu,64,10,100,0.001,Multi-head-CNN,64,0.9172066594753643,0.00842574908566481
20,relu,128,10,100,0.005,Multi-head-CNN,32,0.9171566022575158,0.00919964268788101
21,relu,256,10,100,0.005,Multi-head-CNN,64,0.9169660046463753,0.0026079585855449715
22,relu,128,3,100,0.005,Multi-head-CNN,128,0.9167426658140468,0.021626314111759828
23,relu,256,3,100,0.001,Multi-head-CNN,64,0.9165685071125601,0.014689932626748276
24,relu,128,5,100,0.01,Multi-head-CNN,32,0.9163342112263319,0.013001451634152145
25,relu,128,3,100,0.001,Multi-head-CNN,64,0.916039385457672,0.007343562676235467
26,relu,32,10,100,0.001,Multi-head-CNN,64,0.9160171536674263,0.002249287568342069
27,relu,256,10,100,0.01,Multi-head-CNN,128,0.9156716045631624,0.011539815740442237
28,relu,256,3,100,0.005,Multi-head-CNN,32,0.9156265563390568,0.014808895300021756
29,relu,64,5,100,0.01,Multi-head-CNN,128,0.915039936313272,0.005521910994937342
30,relu,256,10,100,0.001,Multi-head-CNN,64,0.9150341052370488,0.0072032865526745265
31,relu,256,5,100,0.001,Multi-head-CNN,32,0.9148400745295381,0.012914762363770274
32,relu,128,10,100,0.01,Multi-head-CNN,64,0.9146076886887498,0.004751265753763159
33,relu,64,5,100,0.001,Multi-head-CNN,64,0.9144812919623231,0.0028300251549121897
34,relu,32,10,100,0.001,Multi-head-CNN,32,0.9144640313498931,0.004354206818431689
35,relu,32,5,100,0.001,Multi-head-CNN,32,0.9142102875641348,0.01428545778720595
36,relu,256,5,100,0.01,Multi-head-CNN,128,0.9140491254930797,0.009387181777289148
37,relu,32,3,100,0.001,Multi-head-CNN,128,0.9135980481663092,0.008956017097520032
38,relu,256,3,100,0.001,Multi-head-CNN,128,0.9131365929883611,0.010803785659215727
39,relu,32,5,100,0.001,Multi-head-CNN,128,0.9129353195672366,0.0004990269791631718
40,relu,256,3,100,0.005,Multi-head-CNN,64,0.9127764317034573,0.017551247806120048
41,relu,256,3,100,0.001,Multi-head-CNN,32,0.9125004674747238,0.010479367985433478
42,relu,32,5,100,0.005,Multi-head-CNN,128,0.9124839194578805,0.010840907091031292
